Titre,Description,Paramètres,Status,Réponse
,"## QF 150

Permet de tester la fourniture d'un quotient familial de 150","{""codeCogInseeCommuneNaissance"":""35238"",""codeCogInseePaysNaissance"":""99100"",""sexeEtatCivil"":""F"",""nomNaissance"":""MARTIN"",""prenoms"":[""AXELLE""],""anneeDateNaissance"":1989,""moisDateNaissance"":12,""jourDateNaissance"":3}",200,"{
  ""data"": {
    ""allocataires"": [
      {
        ""nom_naissance"": ""MARTIN"",
        ""nom_usage"": null,
        ""prenoms"": ""AXELLE"",
        ""date_naissance"": ""1989-12-03"",
        ""sexe"": ""F""
      }
    ],
    ""enfants"": [],
    ""adresse"": {
      ""destinataire"": ""Madame MARTIN AXELLE LAURENCE"",
      ""complement_information"": null,
      ""complement_information_geographique"": null,
      ""numero_libelle_voie"": ""1 RUE DE SAINT-MALO"",
      ""lieu_dit"": null,
      ""code_postal_ville"": ""35000 RENNES"",
      ""pays"": ""FRANCE""
    },
    ""quotient_familial"": {
      ""fournisseur"": ""CNAF"",
      ""valeur"": 150,
      ""annee"": 2026,
      ""mois"": 4,
      ""annee_calcul"": 2026,
      ""mois_calcul"": 4
    }
  },
  ""links"": {},
  ""meta"": {}
}"
,"## IDENTITÉ CAS ETRANGER

Permet de tester un appel pour une personne née à l'étranger (Italie) sans fourniture de date de naissance","{""codeCogInseePaysNaissance"":""99127"",""sexeEtatCivil"":""F"",""nomNaissance"":""LISA"",""prenoms"":[""MONA""]}",200,"{
  ""data"": {
    ""allocataires"": [
      {
        ""nom_naissance"": ""LISA"",
        ""nom_usage"": null,
        ""prenoms"": ""MONA"",
        ""date_naissance"": ""1980-01-12"",
        ""sexe"": ""F""
      }
    ],
    ""enfants"": [],
    ""adresse"": {
      ""destinataire"": ""Madame Mona Lisa"",
      ""complement_information"": null,
      ""complement_information_geographique"": null,
      ""numero_libelle_voie"": ""Place du musée du Louvres"",
      ""lieu_dit"": null,
      ""code_postal_ville"": ""75001 Paris"",
      ""pays"": ""FRANCE""
    },
    ""quotient_familial"": {
      ""fournisseur"": ""CNAF"",
      ""valeur"": 4270,
      ""annee"": 2026,
      ""mois"": 4,
      ""annee_calcul"": 2026,
      ""mois_calcul"": 4
    }
  },
  ""links"": {},
  ""meta"": {}
}"
,"## Famille AITALI avec quatre enfants

Ce cas permet de tester :
* la gestion d'une famille avec quatre enfants
* parent : AITALI Leyna","{""codeCogInseeCommuneNaissance"":""13001"",""codeCogInseePaysNaissance"":""99100"",""sexeEtatCivil"":""F"",""nomNaissance"":""AITALI"",""prenoms"":[""LEYNA""],""anneeDateNaissance"":2010,""moisDateNaissance"":7,""jourDateNaissance"":11}",200,"{
  ""data"": {
    ""allocataires"": [
      {
        ""nom_naissance"": ""AITALI"",
        ""nom_usage"": null,
        ""prenoms"": ""LEYNA"",
        ""date_naissance"": ""2010-07-11"",
        ""sexe"": ""F""
      }
    ],
    ""enfants"": [
      {
        ""nom_naissance"": ""AITALI"",
        ""nom_usage"": null,
        ""prenoms"": ""RAYANE"",
        ""date_naissance"": ""2012-08-12"",
        ""sexe"": ""M""
      },
      {
        ""nom_naissance"": ""AITALI"",
        ""nom_usage"": null,
        ""prenoms"": ""INES"",
        ""date_naissance"": ""2015-03-19"",
        ""sexe"": ""F""
      },
      {
        ""nom_naissance"": ""AITALI"",
        ""nom_usage"": null,
        ""prenoms"": ""AMIR"",
        ""date_naissance"": ""2017-11-06"",
        ""sexe"": ""M""
      },
      {
        ""nom_naissance"": ""AITALI"",
        ""nom_usage"": null,
        ""prenoms"": ""LINA"",
        ""date_naissance"": ""2020-05-14"",
        ""sexe"": ""F""
      }
    ],
    ""adresse"": {
      ""destinataire"": ""Madame AITALI LEYNA"",
      ""complement_information"": null,
      ""complement_information_geographique"": null,
      ""numero_libelle_voie"": ""18 AVENUE DE MARSEILLE"",
      ""lieu_dit"": null,
      ""code_postal_ville"": ""13127 VITROLLES"",
      ""pays"": ""FRANCE""
    },
    ""quotient_familial"": {
      ""fournisseur"": ""CNAF"",
      ""valeur"": 810,
      ""annee"": 2024,
      ""mois"": 11,
      ""annee_calcul"": 2025,
      ""mois_calcul"": 1
    }
  },
  ""links"": {},
  ""meta"": {}
}"
,"## Famille AITALI avec cinq enfants

Ce cas permet de tester :
* la gestion d'une famille avec cinq enfants
* parent : AITALI Nadia","{""codeCogInseeCommuneNaissance"":""13001"",""codeCogInseePaysNaissance"":""99100"",""sexeEtatCivil"":""F"",""nomNaissance"":""AITALI"",""prenoms"":[""NADIA""],""anneeDateNaissance"":1980,""moisDateNaissance"":11,""jourDateNaissance"":18}",200,"{
  ""data"": {
    ""allocataires"": [
      {
        ""nom_naissance"": ""AITALI"",
        ""nom_usage"": null,
        ""prenoms"": ""NADIA"",
        ""date_naissance"": ""1980-11-18"",
        ""sexe"": ""F""
      }
    ],
    ""enfants"": [
      {
        ""nom_naissance"": ""AITALI"",
        ""nom_usage"": null,
        ""prenoms"": ""SAMY"",
        ""date_naissance"": ""2011-08-28"",
        ""sexe"": ""M""
      },
      {
        ""nom_naissance"": ""AITALI"",
        ""nom_usage"": null,
        ""prenoms"": ""LEYNA"",
        ""date_naissance"": ""2010-07-11"",
        ""sexe"": ""F""
      },
      {
        ""nom_naissance"": ""AITALI"",
        ""nom_usage"": null,
        ""prenoms"": ""RAYANE"",
        ""date_naissance"": ""2012-08-12"",
        ""sexe"": ""M""
      },
      {
        ""nom_naissance"": ""AITALI"",
        ""nom_usage"": null,
        ""prenoms"": ""SARA"",
        ""date_naissance"": ""2016-06-06"",
        ""sexe"": ""F""
      },
      {
        ""nom_naissance"": ""AITALI"",
        ""nom_usage"": null,
        ""prenoms"": ""MALIK"",
        ""date_naissance"": ""2019-09-21"",
        ""sexe"": ""M""
      }
    ],
    ""adresse"": {
      ""destinataire"": ""Madame AITALI NADIA"",
      ""complement_information"": null,
      ""complement_information_geographique"": null,
      ""numero_libelle_voie"": ""12 RUE DES FRERES"",
      ""lieu_dit"": null,
      ""code_postal_ville"": ""13127 VITROLLES"",
      ""pays"": ""FRANCE""
    },
    ""quotient_familial"": {
      ""fournisseur"": ""CNAF"",
      ""valeur"": 720,
      ""annee"": 2024,
      ""mois"": 10,
      ""annee_calcul"": 2025,
      ""mois_calcul"": 1
    }
  },
  ""links"": {},
  ""meta"": {}
}"
,"## Famille AITALI avec trois enfants

Ce cas permet de tester :
* la gestion d'une famille avec trois enfants
* parent : AITALI Samy","{""codeCogInseeCommuneNaissance"":""13001"",""codeCogInseePaysNaissance"":""99100"",""sexeEtatCivil"":""M"",""nomNaissance"":""AITALI"",""prenoms"":[""SAMY""],""anneeDateNaissance"":2011,""moisDateNaissance"":8,""jourDateNaissance"":28}",200,"{
  ""data"": {
    ""allocataires"": [
      {
        ""nom_naissance"": ""AITALI"",
        ""nom_usage"": null,
        ""prenoms"": ""SAMY"",
        ""date_naissance"": ""2011-08-28"",
        ""sexe"": ""M""
      }
    ],
    ""enfants"": [
      {
        ""nom_naissance"": ""AITALI"",
        ""nom_usage"": null,
        ""prenoms"": ""NADIR"",
        ""date_naissance"": ""2016-04-12"",
        ""sexe"": ""M""
      },
      {
        ""nom_naissance"": ""AITALI"",
        ""nom_usage"": null,
        ""prenoms"": ""SARA"",
        ""date_naissance"": ""2018-09-03"",
        ""sexe"": ""F""
      },
      {
        ""nom_naissance"": ""AITALI"",
        ""nom_usage"": null,
        ""prenoms"": ""MALIK"",
        ""date_naissance"": ""2020-01-21"",
        ""sexe"": ""M""
      }
    ],
    ""adresse"": {
      ""destinataire"": ""Monsieur AITALI SAMY"",
      ""complement_information"": null,
      ""complement_information_geographique"": null,
      ""numero_libelle_voie"": ""12 RUE DES FRERES"",
      ""lieu_dit"": null,
      ""code_postal_ville"": ""13127 VITROLLES"",
      ""pays"": ""FRANCE""
    },
    ""quotient_familial"": {
      ""fournisseur"": ""CNAF"",
      ""valeur"": 720,
      ""annee"": 2024,
      ""mois"": 10,
      ""annee_calcul"": 2025,
      ""mois_calcul"": 1
    }
  },
  ""links"": {},
  ""meta"": {}
}"
,"## Famille BENZARTE avec trois enfants

Ce cas permet de tester :
* la gestion d'une famille avec trois enfants
* parent : BENZARTE Samira","{""codeCogInseeCommuneNaissance"":""13055"",""codeCogInseePaysNaissance"":""99100"",""sexeEtatCivil"":""F"",""nomNaissance"":""BENZARTE"",""prenoms"":[""SAMIRA""],""anneeDateNaissance"":1986,""moisDateNaissance"":4,""jourDateNaissance"":12}",200,"{
  ""data"": {
    ""allocataires"": [
      {
        ""nom_naissance"": ""BENZARTE"",
        ""nom_usage"": null,
        ""prenoms"": ""SAMIRA"",
        ""date_naissance"": ""1986-04-12"",
        ""sexe"": ""F""
      }
    ],
    ""enfants"": [
      {
        ""nom_naissance"": ""BENZARTE"",
        ""nom_usage"": null,
        ""prenoms"": ""LANA"",
        ""date_naissance"": ""2011-11-18"",
        ""sexe"": ""F""
      },
      {
        ""nom_naissance"": ""BENZARTE"",
        ""nom_usage"": null,
        ""prenoms"": ""NASSIM"",
        ""date_naissance"": ""2014-01-13"",
        ""sexe"": ""M""
      },
      {
        ""nom_naissance"": ""BENZARTE"",
        ""nom_usage"": null,
        ""prenoms"": ""YANIS"",
        ""date_naissance"": ""2018-06-04"",
        ""sexe"": ""M""
      }
    ],
    ""adresse"": {
      ""destinataire"": ""Madame BENZARTE SAMIRA"",
      ""complement_information"": null,
      ""complement_information_geographique"": null,
      ""numero_libelle_voie"": ""14 RUE SAINT-PIERRE"",
      ""lieu_dit"": null,
      ""code_postal_ville"": ""13005 MARSEILLE"",
      ""pays"": ""FRANCE""
    },
    ""quotient_familial"": {
      ""fournisseur"": ""CNAF"",
      ""valeur"": 980,
      ""annee"": 2024,
      ""mois"": 9,
      ""annee_calcul"": 2025,
      ""mois_calcul"": 1
    }
  },
  ""links"": {},
  ""meta"": {}
}"
,"## Couple avec deux enfants - allocataire féminin - QF MSA de 150 en mai 2026

Ce cas permet de tester :
- [Param. appel] Mois et année du QF recherché 
- [Param. appel] Lieu de naissance en France
- [Param. appel] Sexe feminin
- [Param. appel] Deux prénoms
- [Réponse] Tableau d'informations car couple
- [Réponse] Tableau d'informations car deux enfants
- [Réponse] Régime MSA
- [Réponse] Quotient familial de 150
- [Réponse] Quotient familial ancien de mai 2026","{""codeCogInseeCommuneNaissance"":""08480"",""codeCogInseePaysNaissance"":""99100"",""sexeEtatCivil"":""F"",""nomNaissance"":""ROUX"",""prenoms"":[""JEANNE"",""STEPHANIE""],""anneeDateNaissance"":1987,""moisDateNaissance"":6,""annee"":2026,""mois"":5}",200,"{
  ""data"": {
    ""quotient_familial"": {
      ""fournisseur"": ""MSA"",
      ""valeur"": 150,
      ""annee"": 2026,
      ""mois"": 5,
      ""annee_calcul"": 2024,
      ""mois_calcul"": 12
    },
    ""allocataires"": [
      {
        ""nom_naissance"": ""ROUX"",
        ""nom_usage"": null,
        ""prenoms"": ""JEANNE STEPHANIE"",
        ""date_naissance"": ""1987-06-27"",
        ""sexe"": ""F""
      },
      {
        ""nom_naissance"": ""ROUX"",
        ""nom_usage"": null,
        ""prenoms"": ""LOIC NATHAN"",
        ""date_naissance"": ""1979-05-19"",
        ""sexe"": ""M""
      }
    ],
    ""enfants"": [
      {
        ""nom_naissance"": ""ROUX"",
        ""nom_usage"": null,
        ""prenoms"": ""ALEXIS VINCENT"",
        ""date_naissance"": ""2006-04-20"",
        ""sexe"": ""M""
      },
      {
        ""nom_naissance"": ""ROUX"",
        ""nom_usage"": null,
        ""prenoms"": ""FLEUR EDITH"",
        ""date_naissance"": ""2004-04-20"",
        ""sexe"": ""M""
      }
    ],
    ""adresse"": {
      ""destinataire"": ""Madame ROUX JEANNE"",
      ""complement_information"": null,
      ""complement_information_geographique"": null,
      ""numero_libelle_voie"": ""1 RUE MONTORGUEIL"",
      ""lieu_dit"": null,
      ""code_postal_ville"": ""75002 PARIS"",
      ""pays"": ""FRANCE""
    }
  },
  ""links"": {},
  ""meta"": {}
}"
,"## Couple avec deux enfants - allocataire masculin - QF MSA de 200 en septembre 2024

Ce cas permet de tester : 
- [Param. appel] Lieu de naissance en France
- [Param. appel] Sexe masculin
- [Param. appel] 1 prénom
- [Réponse] Tableau d'informations car couple
- [Réponse] Tableau d'informations car deux enfants
- [Réponse] Régime MSA
- [Réponse] Quotient familial de 200
- [Réponse] Quotient familial ancien de septembre 2024","{""codeCogInseeCommuneNaissance"":""51108"",""codeCogInseePaysNaissance"":""99100"",""sexeEtatCivil"":""M"",""nomNaissance"":""Martin"",""prenoms"":[""Pierre""],""anneeDateNaissance"":1987,""moisDateNaissance"":6,""jourDateNaissance"":27}",200,"{
  ""data"": {
    ""allocataires"": [
      {
        ""nom_naissance"": ""MARTIN"",
        ""nom_usage"": null,
        ""prenoms"": ""PIERRE ALEXIS FRANÇOIS"",
        ""date_naissance"": ""1978-06-27"",
        ""sexe"": ""M""
      },
      {
        ""nom_naissance"": ""LEROUGE"",
        ""nom_usage"": ""MARTIN"",
        ""prenoms"": ""JUSTINE ÉLISE"",
        ""date_naissance"": ""1979-05-19"",
        ""sexe"": ""F""
      }
    ],
    ""enfants"": [
      {
        ""nom_naissance"": ""MARTIN"",
        ""nom_usage"": null,
        ""prenoms"": ""ALEXIS VINCENT"",
        ""date_naissance"": ""2006-04-20"",
        ""sexe"": ""M""
      },
      {
        ""nom_naissance"": ""MARTIN"",
        ""nom_usage"": null,
        ""prenoms"": ""FLEUR EDITH"",
        ""date_naissance"": ""2010-04-20"",
        ""sexe"": ""F""
      }
    ],
    ""adresse"": {
      ""destinataire"": ""Monsieur MARTIN Pierre"",
      ""complement_information"": ""Bâtiment B"",
      ""complement_information_geographique"": ""Résidence Alouette"",
      ""numero_libelle_voie"": ""12 AVENUE DU GÉNÉRAL DE GAULLE"",
      ""lieu_dit"": null,
      ""code_postal_ville"": ""51000 CHÂLONS-EN-CHAMPAGNE"",
      ""pays"": ""FRANCE""
    },
    ""quotient_familial"": {
      ""fournisseur"": ""MSA"",
      ""valeur"": 200,
      ""annee"": 2024,
      ""mois"": 9,
      ""annee_calcul"": 2024,
      ""mois_calcul"": 12
    }
  },
  ""links"": {},
  ""meta"": {}
}"
,"## Famille DIALLO avec cinq enfants

Ce cas permet de tester :
* la gestion d'une famille avec cinq enfants
* parent : DIALLO Aminata","{""codeCogInseeCommuneNaissance"":""13055"",""codeCogInseePaysNaissance"":""99100"",""sexeEtatCivil"":""F"",""nomNaissance"":""DIALLO"",""prenoms"":[""AMINATA""],""anneeDateNaissance"":1982,""moisDateNaissance"":2,""jourDateNaissance"":7}",200,"{
  ""data"": {
    ""allocataires"": [
      {
        ""nom_naissance"": ""DIALLO"",
        ""nom_usage"": null,
        ""prenoms"": ""AMINATA"",
        ""date_naissance"": ""1982-02-07"",
        ""sexe"": ""F""
      }
    ],
    ""enfants"": [
      {
        ""nom_naissance"": ""DIALLO"",
        ""nom_usage"": null,
        ""prenoms"": ""FELIXIA"",
        ""date_naissance"": ""2010-09-30"",
        ""sexe"": ""F""
      },
      {
        ""nom_naissance"": ""DIALLO"",
        ""nom_usage"": null,
        ""prenoms"": ""ISMAEL"",
        ""date_naissance"": ""2015-07-09"",
        ""sexe"": ""M""
      },
      {
        ""nom_naissance"": ""DIALLO"",
        ""nom_usage"": null,
        ""prenoms"": ""NOUR"",
        ""date_naissance"": ""2012-01-14"",
        ""sexe"": ""F""
      },
      {
        ""nom_naissance"": ""DIALLO"",
        ""nom_usage"": null,
        ""prenoms"": ""ADAMA"",
        ""date_naissance"": ""2017-03-16"",
        ""sexe"": ""M""
      },
      {
        ""nom_naissance"": ""DIALLO"",
        ""nom_usage"": null,
        ""prenoms"": ""MARIAM"",
        ""date_naissance"": ""2020-08-05"",
        ""sexe"": ""F""
      }
    ],
    ""adresse"": {
      ""destinataire"": ""Madame DIALLO AMINATA"",
      ""complement_information"": null,
      ""complement_information_geographique"": null,
      ""numero_libelle_voie"": ""6 RUE DES ABEILLES"",
      ""lieu_dit"": null,
      ""code_postal_ville"": ""13001 MARSEILLE"",
      ""pays"": ""FRANCE""
    },
    ""quotient_familial"": {
      ""fournisseur"": ""CNAF"",
      ""valeur"": 760,
      ""annee"": 2024,
      ""mois"": 8,
      ""annee_calcul"": 2025,
      ""mois_calcul"": 1
    }
  },
  ""links"": {},
  ""meta"": {}
}"
,"## célibataire né aux Etats Unis avec deux enfants - allocataire féminin - QF CNAF de 300 en aout 2024

Ce cas permet de tester : 
- [Param. appel] Lieu de naissance en France
- [Param. appel] Sexe féminin
- [Param. appel] 1 prénom
- [Réponse] Tableau d'informations 1 seul allocataire
- [Réponse] Tableau d'informations car deux enfants
- [Réponse] Régime CNAF
- [Réponse] Quotient familial de 300
- [Réponse] Quotient familial ancien de aout 2024","{""codeCogInseePaysNaissance"":""99404"",""sexeEtatCivil"":""F"",""nomNaissance"":""SIMPSON"",""prenoms"":[""Marge""],""anneeDateNaissance"":1980,""moisDateNaissance"":11,""jourDateNaissance"":15}",200,"{
  ""data"": {
    ""allocataires"": [
      {
        ""nom_naissance"": ""BROWN"",
        ""nom_usage"": null,
        ""prenoms"": ""Marge"",
        ""date_naissance"": ""1980-11-15"",
        ""sexe"": ""F""
      }
    ],
    ""enfants"": [
      {
        ""nom_naissance"": ""BROWN"",
        ""nom_usage"": null,
        ""prenoms"": ""Bart"",
        ""date_naissance"": ""2012-02-28"",
        ""sexe"": ""M""
      },
      {
        ""nom_naissance"": ""SIMPSON"",
        ""nom_usage"": null,
        ""prenoms"": ""LISA"",
        ""date_naissance"": ""2013-03-01"",
        ""sexe"": ""F""
      }
    ],
    ""adresse"": {
      ""destinataire"": ""Madame SIMPSON Marge"",
      ""complement_information"": null,
      ""complement_information_geographique"": null,
      ""numero_libelle_voie"": ""1 PLACE DE L'HÔTEL DE VILLE'"",
      ""lieu_dit"": null,
      ""code_postal_ville"": ""51000 CHÂLONS-EN-CHAMPAGNE"",
      ""pays"": ""FRANCE""
    },
    ""quotient_familial"": {
      ""fournisseur"": ""CNAF"",
      ""valeur"": 300,
      ""annee"": 2024,
      ""mois"": 8,
      ""annee_calcul"": 2024,
      ""mois_calcul"": 12
    }
  },
  ""links"": {},
  ""meta"": {}
}"
